"LSL","answer","background","calibration","canvas_backend","compensation","coordinates","count_calibration_whitenoise","count_change","count_cond_loop","count_condition","count_end","count_experiment","count_generate_answer","count_neutral","count_neutral_2","count_neutral_3","count_new_adaptive_init","count_new_logger","count_new_lsl_start_1","count_new_lsl_stop","count_new_sketchpad","count_new_sketchpad_1","count_sig1","count_sig2","count_sig3","count_sound_generation","count_starting_sketchpad","count_stimulus","count_tracking","count_trial","count_trial_loop","datetime","depth","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","frequency","fullscreen","height","live_row","live_row_cond_loop","live_row_trial_loop","logfile","mod_freq","notifiers","opensesame_codename","opensesame_version","position","repeat_cycle","round_decimals","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_calibration_whitenoise","time_change","time_cond_loop","time_condition","time_end","time_experiment","time_generate_answer","time_neutral","time_neutral_2","time_neutral_3","time_new_adaptive_init","time_new_logger","time_new_lsl_start_1","time_new_lsl_stop","time_new_sketchpad","time_new_sketchpad_1","time_sig1","time_sig2","time_sig3","time_sound_generation","time_starting_sketchpad","time_stimulus","time_tracking","time_trial","time_trial_loop","title","uniform_coordinates","width"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","NA","0","0","0","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","400","no","768","0","0","0","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","5","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","1","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","10517","NA","4353","15623","12614","13617","14621","NA","15623","NA","NA","10518","11596","13116","14120","15123","11564","8488","12597","NA","11564","11518","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","0","black","[0.0, 0.0]","legacy","0","uniform","NA","1","0","0","0","0","1","1","1","1","0","1","NA","0","0","1","1","1","1","1","0","NA","1","1","0","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","400","no","768","1","0","1","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","5","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","2","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","10517","NA","4353","19771","16759","17764","18768","NA","19771","NA","NA","10518","15740","17263","18267","19271","15713","8488","16740","15630","15713","11518","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","2","0","0","0","0","2","2","2","2","0","2","NA","0","0","2","2","2","2","2","0","NA","2","2","0","Thu Feb 24 11:24:58 2022","-5.5","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","400","no","768","2","0","2","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","5","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","3","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","10517","NA","4353","23967","20960","21963","22965","NA","23967","NA","NA","10518","19935","21462","22464","23466","19906","8488","20935","19776","19906","11518","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","3","0","1","0","0","3","3","3","3","1","3","NA","0","1","3","3","3","3","3","0","NA","3","3","1","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","1000","no","768","0","1","0","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","5","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","1","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","24114","NA","4353","29284","26271","27277","28282","NA","29284","NA","NA","24117","25245","26773","27778","28784","25177","8488","26246","23970","25176","25118","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","4","0","1","0","0","4","4","4","4","1","4","NA","0","1","4","4","4","4","4","0","NA","4","4","1","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","1000","no","768","1","1","1","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","5","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","2","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","24114","NA","4353","33460","30452","31455","32457","NA","33460","NA","NA","24117","29430","30954","31956","32960","29403","8488","30430","29286","29403","25118","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","5","0","1","0","0","5","5","5","5","1","5","NA","0","1","5","5","5","5","5","0","NA","5","5","1","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","1000","no","768","2","1","2","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","5","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","3","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","24114","NA","4353","37624","34616","35620","36623","NA","37624","NA","NA","24117","33586","35118","36122","37124","33562","8488","34586","33462","33562","25118","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","6","0","2","0","0","6","6","6","6","2","6","NA","0","2","6","6","6","6","6","0","NA","6","6","2","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","400","no","768","0","2","0","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","10","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","1","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","37766","NA","4353","42878","39869","40873","41875","NA","42878","NA","NA","37768","38852","40371","41374","42378","38828","8488","39852","37627","38828","38768","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","7","0","2","0","0","7","7","7","7","2","7","NA","0","2","7","7","7","7","7","0","NA","7","7","2","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","400","no","768","1","2","1","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","10","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","2","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","37766","NA","4353","47021","44014","45017","46020","NA","47021","NA","NA","37768","42989","44515","45518","46521","42962","8488","43989","42880","42962","38768","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","8","0","2","0","0","8","8","8","8","2","8","NA","0","2","8","8","8","8","8","0","NA","8","8","2","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","400","no","768","2","2","2","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","10","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","3","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","37766","NA","4353","51186","48181","49183","50185","NA","51186","NA","NA","37768","47153","48682","49684","50686","47131","8488","48153","47023","47131","38768","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","9","0","3","0","0","9","9","9","9","3","9","NA","0","3","9","9","9","9","9","0","NA","9","9","3","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","1000","no","768","0","3","0","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","10","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","1","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","51343","NA","4353","56449","53439","54443","55446","NA","56449","NA","NA","51345","52417","53942","54944","55949","52394","8488","53417","51189","52394","52346","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","10","0","3","0","0","10","10","10","10","3","10","NA","0","3","10","10","10","10","10","0","NA","10","10","3","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","1000","no","768","1","3","1","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","10","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","2","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","51343","NA","4353","60599","57590","58594","59597","NA","60599","NA","NA","51345","56567","58093","59096","60099","56544","8488","57567","56451","56544","52346","New experiment","yes","1024"
"<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>","1","black","[0.0, 0.0]","legacy","0","uniform","NA","11","0","3","0","0","11","11","11","11","3","11","NA","0","3","11","11","11","11","11","0","NA","11","11","3","Thu Feb 24 11:24:58 2022","-6","The main experiment item","yes","3afc_am_experiment.osexp","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example","no","mono","no","18","no","white","no","Next","1000","no","768","2","3","2","C:/Users/elus/Desktop/New folder/BRM_OMEXP/example\quickrun.csv","10","[<share.opensesame_plugins.lsl_start.liblsl.LSL_session object at 0x000002430B207F48>]","Lentiform Loewenfeld","3.3.11","3","0","2","1024","2","48000","-16","experiment","999","odd","NA","NA","10488","51343","NA","4353","64762","61753","62756","63758","NA","64762","NA","NA","51345","60729","62255","63257","64262","60705","8488","61729","60602","60705","52346","New experiment","yes","1024"
